"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-39-0VL8K87SIRMM12E2",-1.39062314115503,8.46287798571435,4.53543529528236,0.0332000121237127,0.128186149529018,"tRF-39-0VL8K87SIRMM12E2"
"tRF-22-YU8R6Q46J",1.25482109710467,5.89411309605363,4.49959195114173,0.0339029427613538,0.130314886066905,"tRF-22-YU8R6Q46J"
"tRF-22-WB86N7O52",1.31420141052967,7.05115895354265,4.49695397406293,0.0339552872146161,0.130314886066905,"tRF-22-WB86N7O52"
"tRF-20-40KK5Y93",1.39355009000331,9.11703244993375,4.4448755655394,0.0350061411795254,0.133945653974352,"tRF-20-40KK5Y93"
"tRF-34-8L8NRS9NS3341S",1.23807490313722,6.10175765014925,4.43699530976454,0.035168089602267,0.13416363734835,"tRF-34-8L8NRS9NS3341S"
"tRF-34-PS5P4PW3FJHPEQ",1.34022708729849,7.97570138109507,4.42959394562935,0.0353209099700617,0.13434560399327,"tRF-34-PS5P4PW3FJHPEQ"
"tRF-25-7O58J0K8UM",-1.31354458699751,7.30647128119751,4.40956434957613,0.0357379668554556,0.135528550864309,"tRF-25-7O58J0K8UM"
"tRF-29-7343RX6NMHH3",1.31180613761482,7.55151344098473,4.3977523094554,0.0359863298746134,0.136066655561408,"tRF-29-7343RX6NMHH3"
"tRF-31-FJ33DSJOBZBDE",-1.33197112327293,5.51436197400882,4.37209207505833,0.0365321138565994,0.13772283630895,"tRF-31-FJ33DSJOBZBDE"
"tRF-50-ZOIPD7VIZKXXI363U0EZ",-1.28346168928408,6.58793918222008,4.35805574475923,0.0368343215584634,0.138453714563871,"tRF-50-ZOIPD7VIZKXXI363U0EZ"
"tRF-40-2VR008R959KUMKF6",-1.35115369053538,8.28150748085559,4.34936953572606,0.0370226493121465,0.138753506806227,"tRF-40-2VR008R959KUMKF6"
"tRF-22-WB08Q2B52",1.22048747512633,6.04611682748666,4.32922731619373,0.0374632487354499,0.139994245274576,"tRF-22-WB08Q2B52"
"tRF-26-9MV47P596VE",1.27787335447517,6.76449470788842,4.31930229216372,0.037682369757108,0.140402532214531,"tRF-26-9MV47P596VE"
"tRF-37-EERZYQHQ9M739P5",-1.28874250990825,6.80028397002898,4.30928459612339,0.0379048988998772,0.140821106959428,"tRF-37-EERZYQHQ9M739P5"
"tRF-50-87R8WP9I1EWJQZ2S3HPS",1.22248184168334,5.87166595750035,4.26606259921714,0.0388809247405444,0.144028469038886,"tRF-50-87R8WP9I1EWJQZ2S3HPS"
"tRF-35-PSQP4PW3FJI0E7",1.4335209560239,11.523500658957,4.25319228919282,0.0391766225751207,0.144080717568825,"tRF-35-PSQP4PW3FJI0E7"
"tRF-30-86V8WPMN1E8Y",1.33195130477418,8.30366363356957,4.25222989444883,0.0391988283480781,0.144080717568825,"tRF-30-86V8WPMN1E8Y"
"tRF-22-8XF6RE98N",1.24312528096654,5.70042713915656,4.25073932331737,0.0392332470375205,0.144080717568825,"tRF-22-8XF6RE98N"
"tRF-38-00BY4D84KRIMUFU",1.21098043363492,6.18213553467224,4.23335413892379,0.0396370366469339,0.145146512420578,"tRF-38-00BY4D84KRIMUFU"
"tRF-31-QKF1R3WE8RO80",1.32075265677379,8.16364517571269,4.22744782678418,0.039775207376582,0.145236328649348,"tRF-31-QKF1R3WE8RO80"
"tRF-36-R9J89O9NF5W8E70",1.23108794708305,6.48187434814168,4.21618648770635,0.0400400545762669,0.145786865380254,"tRF-36-R9J89O9NF5W8E70"
"tRF-30-D7OOJ0QXL13X",-1.22168288698739,6.15336030804486,4.20736539101609,0.040248803897815,0.146130600515363,"tRF-30-D7OOJ0QXL13X"
