"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-F0QV7ND",0,0,0,0,1,0,0,0
"tRF-16-F1R3WEE",3,0,3,2,1,3,0,2
"tRF-16-F900BYD",0,1,0,2,1,3,0,2
"tRF-16-F9LKXNE",0,0,0,0,2,0,0,0
"tRF-16-FH14PU0",0,0,0,0,0,0,0,1
"tRF-16-FJ33DSD",0,0,0,0,1,0,1,0
"tRF-16-FKWE6ME",0,1,0,1,0,0,0,0
"tRF-16-FKYSR90",0,0,0,1,0,0,0,0
"tRF-16-FPZD3KD",3,2,2,0,0,0,0,0
"tRF-16-FPZD3KE",5,0,16,2,1,3,1,0
"tRF-16-FR83DN0",0,0,0,0,0,1,0,0
"tRF-16-FSXMSL0",0,1,0,0,0,0,0,0
"tRF-16-FW6SF8E",0,1,0,0,1,0,0,0
"tRF-16-H48V7KE",3,2,3,1,1,2,1,0
"tRF-16-H5KQBFD",0,1,0,0,0,0,0,0
"tRF-16-H5SYNXD",0,1,0,1,0,0,0,0
"tRF-16-H6QE30E",4,2,7,0,2,1,1,0
"tRF-16-H7PU4HD",2,0,0,0,5,3,0,1
"tRF-16-H7S84HD",0,0,0,0,0,0,1,0
"tRF-16-H9R8B7D",7,5,4,2,1,0,3,5
"tRF-16-H9R8ORD",0,0,0,0,1,0,0,0
"tRF-16-HFO6FJD",0,0,0,1,5,3,1,3
"tRF-16-HK9NJ40",0,0,0,0,0,0,1,0
"tRF-16-HKFZB1D",0,1,0,0,0,3,0,2
"tRF-16-HPDJXW0",0,0,0,1,0,0,0,0
"tRF-16-HR0P1SD",0,0,0,1,0,0,0,0
"tRF-16-HR0VX6D",4,5,2,3,11,7,2,1
"tRF-16-HR1PF7D",0,0,0,0,1,0,0,0
"tRF-16-HRH7MSD",0,0,0,1,1,0,0,0
"tRF-16-HRL7S50",0,1,0,0,1,0,2,0
"tRF-16-HRMFWRB",2,0,0,0,0,0,0,1
"tRF-16-HSQSD2D",0,1,1,0,1,4,1,1
"tRF-16-HSRVK7D",5,1,1,1,6,3,5,1
"tRF-16-I0PRRND",0,0,0,0,2,0,0,2
"tRF-16-I26WRND",0,0,1,1,0,1,0,0
"tRF-16-I2LJQI0",0,0,0,0,0,0,1,0
"tRF-16-I2UKM70",0,0,0,0,0,0,0,1
"tRF-16-I34JRX0",0,0,1,0,0,0,0,0
"tRF-16-I3FJQSD",1,0,0,0,0,0,0,1
"tRF-16-I7L7P50",4,4,6,1,2,1,2,2
"tRF-16-I7XUK80",1,0,2,0,0,0,1,0
"tRF-16-I8WX6RD",0,1,0,0,0,1,1,0
"tRF-16-ILQ673B",0,2,0,0,0,0,1,0
"tRF-16-IMLWRND",1,0,0,1,0,1,0,0
"tRF-16-INVDRID",13,238,4,126,135,139,67,91
"tRF-16-IPRVYJE",1,1,4,0,5,2,3,4
"tRF-16-IRJ9ZHB",0,1,0,0,0,0,0,0
"tRF-16-IRM1BVB",0,0,2,0,0,0,0,0
"tRF-16-IRMJ6VB",1,0,0,0,1,0,0,0
"tRF-16-ISQI45D",0,0,1,1,2,2,0,1
"tRF-16-J07RRND",0,0,0,0,0,0,1,0
"tRF-16-J36RRND",0,0,0,0,0,0,1,0
"tRF-16-J81H93E",0,1,0,0,0,0,0,0
"tRF-16-J9ZH0S0",3,0,2,1,0,1,0,1
"tRF-16-JBRYMWE",0,1,1,1,0,1,0,0
"tRF-16-JHHS19B",0,2,0,0,0,0,0,0
"tRF-16-JHOJ7I0",0,0,1,0,0,0,0,0
"tRF-16-JIH6Z3D",0,0,0,0,0,0,1,0
"tRF-16-JKIKYUE",0,2,1,0,4,1,2,2
"tRF-16-JKIWRND",1,0,1,0,0,1,1,1
"tRF-16-JKSV5ND",2,0,0,0,1,3,1,0
"tRF-16-JMRPFQB",0,2,1,1,0,2,1,2
"tRF-16-JMRPFQD",36,14,29,7,18,21,10,12
"tRF-16-JMZLBS0",0,0,0,0,1,0,0,0
