"","X.miRNA","precursor","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"43","hsa-miR-10396b-5p","hsa-mir-10396b",0.47,0,0.53,0,0,0.6,0,0
"44","hsa-miR-10396b-3p","hsa-mir-10396b",1.87,0.94,1.07,1.39,0.65,0.6,0,0
"45","hsa-miR-10397-5p","hsa-mir-10397",0,0,0,0,0,0,0,0
"46","hsa-miR-10397-3p","hsa-mir-10397",0,0,0,0,0,0,0,0
"47","hsa-miR-10398-5p","hsa-mir-10398",0,0,0,0,0,0,0,0
"48","hsa-miR-10398-3p","hsa-mir-10398",0,0,0,0,0,0,0,0
"49","hsa-miR-10399-5p","hsa-mir-10399",0,0,0,0,0,0,0,0
"50","hsa-miR-10399-3p","hsa-mir-10399",0,0,0,0,0,0,0,0
"51","hsa-miR-103a-3p","hsa-mir-103a-1",12623.9,16594.91,16503.78,14689.73,12572.14,10070.13,15089.97,13161.95
"52","hsa-miR-103a-1-5p","hsa-mir-103a-1",0,0,0,0,0,0,0,0
"53","hsa-miR-103a-2-5p","hsa-mir-103a-2",0,0.94,2.67,2.79,0.65,0,0,0
"54","hsa-miR-103a-3p","hsa-mir-103a-2",12629.05,16616.5,16518.74,14698.09,12575.41,10074.94,15103,13171.66
"55","hsa-miR-103b","hsa-mir-103b-1",0,0,0,0,0,0,0,0
"56","hsa-miR-103b","hsa-mir-103b-2",0,0,0,0,0,0,0,0
"57","hsa-miR-10400-5p","hsa-mir-10400",0,0,0.53,0,0,0,0,0
"58","hsa-miR-10400-3p","hsa-mir-10400",0,0,0,0,0,0,0,0
"59","hsa-miR-10401-5p","hsa-mir-10401",0,0,0,0,0,0,0,0.75
"60","hsa-miR-10401-3p","hsa-mir-10401",0.47,0.94,0,1.39,1.31,1.8,0,1.49
"61","hsa-miR-105-5p","hsa-mir-105-1",1890.01,2141.34,1984.69,2415.53,2143.99,1825.9,2797.85,2845.55
"62","hsa-miR-105-3p","hsa-mir-105-1",20.58,25.34,30.46,30.66,24.86,18.04,27.07,29.13
"63","hsa-miR-105-5p","hsa-mir-105-2",1890.01,2141.34,1984.69,2415.53,2143.99,1825.9,2797.85,2845.55
"64","hsa-miR-105-3p","hsa-mir-105-2",20.58,25.34,30.99,30.66,24.86,18.04,27.07,29.13
"65","hsa-miR-10522-5p","hsa-mir-10522",3.27,6.57,6.41,2.79,0,1.2,1,5.23
"66","hsa-miR-10523-5p","hsa-mir-10523",0,0,0,0,0,0,0,0
"67","hsa-miR-10524-5p","hsa-mir-10524",0,0,0,0,0,0,0,0
"68","hsa-miR-10525-3p","hsa-mir-10525",0,0,0,0,0,0,0,0
"69","hsa-miR-10526-3p","hsa-mir-10526",0,0,0,0,0,0,0,0
"70","hsa-miR-10527-5p","hsa-mir-10527",1.87,0.94,3.74,2.79,3.27,2.41,1,2.24
"71","hsa-miR-106a-5p","hsa-mir-106a",31.34,28.15,62.52,39.03,75.89,302.51,52.13,36.6
