"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-16-HFO6FJD",0,0,3,0,0,0
"tRF-16-HR07MSD",0,0,0,1,1,0
"tRF-16-HR0VX6D",18,6,1,12,1,1
"tRF-16-HR0ZMSD",1,0,0,0,0,0
"tRF-16-HR1PF7D",0,0,1,0,0,0
"tRF-16-HRH7MSD",4,7,10,7,2,3
"tRF-16-HRL7S50",1,1,10,3,1,3
"tRF-16-HRMF3RB",1,0,0,0,0,0
"tRF-16-HSQS52D",0,0,3,0,0,0
"tRF-16-HSQSD2D",2,1,14,0,3,1
"tRF-16-HSRVK7D",3,0,0,1,0,0
"tRF-16-I2LJQI0",1,0,1,0,0,1
"tRF-16-I34JRX0",0,0,0,1,0,0
"tRF-16-I3FJQSD",10,10,2,13,3,0
"tRF-16-I7L7P50",0,0,9,0,0,2
"tRF-16-I7LZ930",0,0,0,1,1,0
"tRF-16-I7MN93D",1,0,0,0,0,0
"tRF-16-I958M80",0,1,0,0,0,0
"tRF-16-ILQ673B",0,0,0,2,0,0
"tRF-16-ILXKKS0",0,0,0,1,0,0
"tRF-16-INVDRID",35,8,5,15,11,11
"tRF-16-IRMJ6VB",0,1,0,0,0,0
"tRF-16-IRMM12B",1,0,0,1,0,0
"tRF-16-ISQI45D",24,25,171,15,18,36
"tRF-16-ISQIY5D",0,0,4,0,0,0
"tRF-16-IYQI45D",0,0,0,0,0,1
"tRF-16-J07RRND",0,1,0,0,0,0
"tRF-16-J3LPWRD",0,0,1,0,0,0
"tRF-16-J4RPFQE",0,0,0,2,0,0
"tRF-16-J4S2QFE",0,0,0,0,0,1
"tRF-16-J96YYDD",0,0,1,1,1,1
"tRF-16-JBRYMWE",1,0,0,0,0,2
"tRF-16-JHHS19B",1,0,0,0,0,0
"tRF-16-JIH6Z3D",0,0,0,1,0,0
"tRF-16-JKIKYUE",2,0,0,0,0,0
"tRF-16-JKSV5ND",0,0,0,2,0,0
"tRF-16-JMRPFQD",255,190,137,389,192,38
"tRF-16-JNORRND",2,0,1,0,0,0
"tRF-16-JNRPFQD",2,0,0,4,0,0
"tRF-16-JOWU1M0",0,1,0,0,0,0
"tRF-16-JYSZ11D",0,0,0,0,2,2
"tRF-16-K0JNOR0",0,0,4,0,1,2
"tRF-16-K0SVRND",0,0,2,0,0,0
"tRF-16-K34ZM00",0,0,3,0,0,0
"tRF-16-K34ZMK0",0,1,0,2,0,0
"tRF-16-K53SW1B",2,2,3,3,2,0
"tRF-16-K5J0W1B",2,0,0,0,0,0
"tRF-16-K5NSW1B",1,3,10,3,1,1
"tRF-16-K87SERD",0,0,1,0,0,0
"tRF-16-K8KDP1B",89,52,84,67,27,11
"tRF-16-K8QJP1B",98,68,102,90,71,25
"tRF-16-KJ5R5ND",0,3,2,0,0,0
"tRF-16-KK5Y93E",3,0,0,0,0,0
"tRF-16-KNNVOR0",0,1,0,0,1,0
"tRF-16-KQ3SW1B",84,97,332,101,71,93
"tRF-16-KQI34J0",0,0,8,0,0,2
"tRF-16-KQWYL1D",1,0,0,0,1,0
"tRF-16-KS8WP9D",0,1,0,1,1,2
"tRF-16-L0HVRND",0,1,0,0,0,0
"tRF-16-L3489BD",0,0,3,0,0,0
"tRF-16-L578Q1B",0,0,3,0,0,0
"tRF-16-L61MQKE",1,1,0,2,0,0
"tRF-16-L85J3KE",1,0,2,0,0,2
"tRF-16-L981PV0",1,0,0,0,0,0
"tRF-16-LB3KMBB",1,1,0,0,0,0
"tRF-16-LBRY73E",1,0,1,0,0,0
"tRF-16-LK8YR90",0,0,0,1,0,0
"tRF-16-LP21W3E",0,1,0,0,0,0
"tRF-16-LR6LQ60",1,0,0,1,0,0
"tRF-16-LR6XQ60",0,0,1,0,0,0
"tRF-16-LUD3KS0",0,0,2,0,2,0
"tRF-16-LWND8PB",0,0,2,0,0,0
"tRF-16-LWRNLED",0,1,0,1,0,0
"tRF-16-M0NK5YE",1,1,0,0,0,0
"tRF-16-M26RRNE",0,0,0,3,0,0
"tRF-16-M2OSRND",2,1,4,0,0,0
"tRF-16-MBQ4NKD",255,148,200,165,88,32
"tRF-16-MEF91S0",0,1,6,3,2,4
"tRF-16-MEJB5YB",0,0,0,1,1,0
"tRF-16-MH490VD",3,0,6,0,0,1
"tRF-16-MK7LQ60",1,0,0,0,0,0
"tRF-16-ML5F82D",9,4,24,7,8,1
"tRF-16-MLQHWUD",7,4,3,4,2,1
"tRF-16-MNH5SYD",0,0,0,1,0,0
"tRF-16-MNLM3KD",1,0,0,0,0,0
"tRF-16-MPW4PU0",8,7,9,2,2,0
"tRF-16-MQ5JK80",1,0,0,0,0,0
"tRF-16-MZ3L7L0",0,0,1,0,0,0
"tRF-16-NB8PLMD",1,0,6,0,0,0
"tRF-16-NPSV9ND",0,1,0,0,0,0
"tRF-16-NVORRND",0,0,0,0,0,2
"tRF-16-NY2V7KE",0,0,0,0,1,0
"tRF-16-NYDRFUE",0,1,3,1,0,0
"tRF-16-O2Z0R90",1,0,0,0,0,0
"tRF-16-O2ZFR90",1,0,0,0,0,0
"tRF-16-ODMJF0D",0,0,0,0,1,0
"tRF-16-OKW4190",0,0,1,0,0,0
"tRF-16-OMJHHSB",0,1,2,1,1,0
"tRF-16-OUQHN2D",2,0,0,0,0,0
"tRF-16-P41M3KE",2,0,0,0,0,0
"tRF-16-PJ5830E",1,5,0,0,1,0
"tRF-16-PJB7MND",0,3,7,0,0,0
"tRF-16-PNMI7OD",2,0,0,0,0,0
"tRF-16-PORSM3E",0,2,0,1,0,0
"tRF-16-PSJ985D",1,0,0,0,0,0
"tRF-16-PSQP4PE",2,0,2,1,0,1
"tRF-16-Q01LQKB",3,2,0,0,3,0
"tRF-16-Q01M3KE",0,1,0,0,1,0
"tRF-16-Q1Q89PE",1,1,0,1,0,0
"tRF-16-Q2FWQ80",4,2,1,1,5,2
"tRF-16-Q6S8420",0,0,1,0,0,0
"tRF-16-Q72S3H0",0,0,1,1,1,0
"tRF-16-QB1MK8E",0,0,5,1,0,0
"tRF-16-QI45LSD",0,0,1,0,0,0
"tRF-16-QIY5LSD",2,0,0,0,0,0
"tRF-16-QJ3KYUE",0,0,2,0,0,0
"tRF-16-QZ2S3H0",0,1,0,0,0,0
"tRF-16-QZRK7SB",1,1,0,1,0,0
"tRF-16-R008R90",0,0,6,0,0,0
"tRF-16-R0PSR90",0,0,1,0,0,0
"tRF-16-R29P4PE",4,8,11,9,6,4
"tRF-16-R2IP4O0",0,1,0,0,0,0
"tRF-16-R3WE8R0",0,0,0,0,0,1
"tRF-16-R4XLR8D",0,0,0,0,1,0
"tRF-16-R7DJQV0",2,0,0,0,0,0
"tRF-16-R9593JD",2,2,0,0,0,0
"tRF-16-R9593KD",3,6,1,0,2,0
"tRF-16-R95R3JB",2,1,0,1,0,0
"tRF-16-R9JP9PD",2,1,2,0,1,2
"tRF-16-R9KVPKE",0,0,1,0,0,0
"tRF-16-RESJ830",0,0,3,0,0,0
"tRF-16-RLXN48E",5,5,17,11,0,1
"tRF-16-ROWFUBD",0,0,0,1,0,0
"tRF-16-RPFQJDE",17,17,19,14,4,7
"tRF-16-RPLWNDE",3,2,0,1,2,1
"tRF-16-RPM830D",6,2,28,0,1,0
"tRF-16-RPM830E",2,0,0,0,0,0
"tRF-16-RQ59W3E",2,1,12,1,0,0
"tRF-16-RUSMKVD",0,0,3,0,0,0
"tRF-16-RV50SR0",0,1,1,2,0,0
"tRF-16-RX1HI2D",6,1,0,0,0,0
"tRF-16-RX1HZ2D",8,3,4,10,7,0
"tRF-16-RX6NMHD",27,20,16,27,11,5
"tRF-16-RXQ6S8D",2,0,1,4,2,0
"tRF-16-RXQFY8D",2,0,0,0,1,0
"tRF-16-RXSINHE",1,3,10,0,1,4
"tRF-16-RXSMKVD",1,2,0,0,1,0
"tRF-16-S2I7X70",0,1,0,0,0,0
"tRF-16-S2PMFIE",1,0,0,1,0,0
"tRF-16-S3M830E",106,64,88,80,66,5
"tRF-16-S4113KE",4,3,6,6,3,1
"tRF-16-S411WKE",0,0,0,1,0,0
"tRF-16-S41M3KE",1,2,0,2,1,0
"tRF-16-S4I7LZD",0,0,3,1,0,1
"tRF-16-S4I7MNE",1,0,0,1,0,0
"tRF-16-S5QKF10",3,0,0,0,0,0
"tRF-16-S5R830E",0,1,2,0,0,0
"tRF-16-S5S8R6D",0,0,3,1,0,0
