"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-138-5p",0.649917270820306,7.80795123808739,3.93212809729096,0.0473719615080021,0.159828878826998,"hsa-miR-138-5p"
"hsa-miR-92a-3p",-0.576692948885742,12.3945999394644,3.85301967411148,0.0496565140186771,0.166092477924541,"hsa-miR-92a-3p"
"hsa-miR-421",-0.566777535564238,10.524515420446,3.67485964851846,0.05523890423971,0.183185426025705,"hsa-miR-421"
"hsa-miR-302a-3p",0.825777331296936,4.06214013845664,3.58391283285502,0.0583415794892045,0.190833815974117,"hsa-miR-302a-3p"
"hsa-miR-302b-3p",0.725199862498453,5.39677023104394,3.57858665119674,0.0585289280951546,0.190833815974117,"hsa-miR-302b-3p"
"hsa-miR-320a-3p",0.557744688029602,10.5131440285205,3.5605984632166,0.0591664037635949,0.19130470550229,"hsa-miR-320a-3p"
"hsa-let-7e-3p",-0.881045505532376,3.56886378130579,3.3828419917773,0.0658783664148662,0.210243870195849,"hsa-let-7e-3p"
"hsa-miR-133a-3p",0.598591304784834,7.84890619680398,3.37075209857329,0.0663634528340986,0.210243870195849,"hsa-miR-133a-3p"
"hsa-miR-155-5p",-0.795356108689432,4.09077663336864,3.36366769007586,0.0666494743146633,0.210243870195849,"hsa-miR-155-5p"
"hsa-miR-1292-5p",-0.862733647145845,3.63186475158608,3.34580957726167,0.0673763275568024,0.210822702355156,"hsa-miR-1292-5p"
"hsa-miR-204-3p",0.855433941022948,3.62121957106966,3.30829300466478,0.0689310590137669,0.213962007178733,"hsa-miR-204-3p"
"hsa-miR-329-3p",0.677468646837452,5.59738797864198,3.19165121215992,0.0740152149988003,0.227919868409004,"hsa-miR-329-3p"
"hsa-miR-618",-0.579460616101248,7.87824434352136,3.1680455240778,0.0750922580894026,0.22811053801833,"hsa-miR-618"
"hsa-miR-218-5p",0.524131419445662,17.1031968523261,3.16455457982829,0.0752529609957376,0.22811053801833,"hsa-miR-218-5p"
"hsa-miR-4705",0.698290067073481,4.81105127551494,3.11530215395874,0.0775600924673108,0.233281518428811,"hsa-miR-4705"
"hsa-miR-589-5p",-0.674149326155208,5.49846421251162,3.09773534499409,0.0784012875166908,0.233997688895969,"hsa-miR-589-5p"
"hsa-let-7c-5p",-0.516917619531746,8.49477291878571,2.91976678313492,0.0875005096354563,0.259161814798146,"hsa-let-7c-5p"
"hsa-miR-1306-5p",-0.732425296898149,4.16644131025994,2.88605215634896,0.0893496224565069,0.261653688592099,"hsa-miR-1306-5p"
"hsa-miR-4521",0.520188666969642,8.38645034007084,2.87991836834699,0.0896905685122401,0.261653688592099,"hsa-miR-4521"
"hsa-miR-494-3p",0.696090357348764,4.21919851641984,2.78146561410898,0.0953608670310325,0.276119525433139,"hsa-miR-494-3p"
