"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2384","hsa-miR-6762-3p","hsa-mir-6762","0","0","0","0","0","0"
"2385","hsa-miR-6763-5p","hsa-mir-6763","3","0","8","2","2","4"
"2386","hsa-miR-6763-3p","hsa-mir-6763","1","0","0","0","0","0"
"2387","hsa-miR-6764-5p","hsa-mir-6764","0","0","0","1","1","0"
"2388","hsa-miR-6764-3p","hsa-mir-6764","0","0","0","0","0","0"
"2389","hsa-miR-6765-5p","hsa-mir-6765","0","1","17","0","0","0"
"2390","hsa-miR-6765-3p","hsa-mir-6765","0","0","0","0","0","0"
"2391","hsa-miR-6766-5p","hsa-mir-6766","0","0","0","0","0","0"
"2392","hsa-miR-6766-3p","hsa-mir-6766","1","0","0","0","0","1"
"2393","hsa-miR-6767-5p","hsa-mir-6767","2","0","0","0","0","0"
"2394","hsa-miR-6767-3p","hsa-mir-6767","0","0","0","1","0","0"
"2395","hsa-miR-6768-5p","hsa-mir-6768","0","0","0","0","0","0"
"2396","hsa-miR-6768-3p","hsa-mir-6768","0","0","0","0","0","0"
"2397","hsa-miR-6769a-5p","hsa-mir-6769a","1","1","0","0","1","0"
"2398","hsa-miR-6769a-3p","hsa-mir-6769a","0","0","0","0","0","0"
"2399","hsa-miR-6769b-5p","hsa-mir-6769b","0","0","0","0","0","0"
"2400","hsa-miR-6769b-3p","hsa-mir-6769b","1","0","0","0","2","0"
"2407","hsa-miR-6771-5p","hsa-mir-6771","0","0","0","0","0","0"
"2408","hsa-miR-6771-3p","hsa-mir-6771","0","0","0","0","0","0"
"2409","hsa-miR-6772-5p","hsa-mir-6772","0","0","0","0","0","0"
"2410","hsa-miR-6772-3p","hsa-mir-6772","11","4","0","6","2","4"
"2411","hsa-miR-6773-5p","hsa-mir-6773","0","0","0","0","0","0"
"2412","hsa-miR-6773-3p","hsa-mir-6773","0","0","0","0","0","0"
"2413","hsa-miR-6774-5p","hsa-mir-6774","0","0","0","0","0","0"
"2414","hsa-miR-6774-3p","hsa-mir-6774","0","0","0","0","0","0"
"2415","hsa-miR-6775-5p","hsa-mir-6775","0","0","0","0","0","0"
"2416","hsa-miR-6775-3p","hsa-mir-6775","0","0","0","0","0","0"
"2417","hsa-miR-6776-5p","hsa-mir-6776","0","0","0","0","0","0"
"2418","hsa-miR-6776-3p","hsa-mir-6776","0","0","0","0","0","0"
"2419","hsa-miR-6777-5p","hsa-mir-6777","1","0","6","3","0","3"
"2420","hsa-miR-6777-3p","hsa-mir-6777","2","0","0","0","0","0"
"2421","hsa-miR-6778-5p","hsa-mir-6778","0","2","0","0","0","0"
"2422","hsa-miR-6778-3p","hsa-mir-6778","0","0","0","0","0","0"
"2423","hsa-miR-6779-5p","hsa-mir-6779","0","1","0","0","0","0"
"2424","hsa-miR-6779-3p","hsa-mir-6779","0","0","0","0","0","0"
"2425","hsa-miR-6780a-5p","hsa-mir-6780a","2","1","0","1","1","1"
"2426","hsa-miR-6780a-3p","hsa-mir-6780a","0","0","0","0","0","0"
"2427","hsa-miR-6780b-5p","hsa-mir-6780b","0","0","0","0","0","0"
"2428","hsa-miR-6780b-3p","hsa-mir-6780b","0","0","0","0","0","0"
"2429","hsa-miR-6781-5p","hsa-mir-6781","0","0","4","0","0","0"
"2430","hsa-miR-6781-3p","hsa-mir-6781","0","0","0","0","0","0"
"2431","hsa-miR-6782-5p","hsa-mir-6782","3","0","0","0","0","0"
"2432","hsa-miR-6782-3p","hsa-mir-6782","1","0","0","0","0","0"
"2433","hsa-miR-6783-5p","hsa-mir-6783","0","0","0","0","0","0"
"2434","hsa-miR-6783-3p","hsa-mir-6783","0","0","0","0","0","0"
"2435","hsa-miR-6784-5p","hsa-mir-6784","0","0","0","0","1","0"
"2436","hsa-miR-6784-3p","hsa-mir-6784","0","0","0","0","0","0"
"2437","hsa-miR-6785-5p","hsa-mir-6785","0","0","0","0","0","0"
"2438","hsa-miR-6785-3p","hsa-mir-6785","0","0","0","0","0","0"
"2439","hsa-miR-6786-5p","hsa-mir-6786","0","0","0","0","0","0"
"2440","hsa-miR-6786-3p","hsa-mir-6786","2","5","15","1","7","2"
"2441","hsa-miR-6787-5p","hsa-mir-6787","0","0","6","0","0","0"
"2442","hsa-miR-6787-3p","hsa-mir-6787","0","0","0","1","0","0"
"2443","hsa-miR-6788-5p","hsa-mir-6788","0","0","0","0","0","0"
"2444","hsa-miR-6788-3p","hsa-mir-6788","1","0","10","0","0","0"
"2445","hsa-miR-6789-5p","hsa-mir-6789","0","0","0","0","1","1"
"2446","hsa-miR-6789-3p","hsa-mir-6789","0","0","0","0","0","0"
"2447","hsa-miR-6790-5p","hsa-mir-6790","0","0","0","0","0","0"
"2448","hsa-miR-6790-3p","hsa-mir-6790","0","0","0","0","0","0"
"2449","hsa-miR-6791-5p","hsa-mir-6791","0","0","0","0","0","0"
"2450","hsa-miR-6791-3p","hsa-mir-6791","0","0","0","0","0","0"
"2451","hsa-miR-6792-5p","hsa-mir-6792","0","0","0","0","0","2"
"2452","hsa-miR-6792-3p","hsa-mir-6792","1","1","0","0","0","0"
"2453","hsa-miR-6793-5p","hsa-mir-6793","1","0","4","2","0","0"
"2454","hsa-miR-6793-3p","hsa-mir-6793","0","0","0","0","0","0"
"2455","hsa-miR-6794-5p","hsa-mir-6794","6","5","17","8","6","4"
"2456","hsa-miR-6794-3p","hsa-mir-6794","8","9","3","4","2","3"
"2457","hsa-miR-6795-5p","hsa-mir-6795","0","0","0","0","0","0"
"2458","hsa-miR-6795-3p","hsa-mir-6795","0","0","0","0","0","0"
"2459","hsa-miR-6796-5p","hsa-mir-6796","3","0","9","0","0","0"
"2460","hsa-miR-6796-3p","hsa-mir-6796","1","0","0","0","0","0"
"2461","hsa-miR-6797-5p","hsa-mir-6797","0","0","0","0","1","0"
"2462","hsa-miR-6797-3p","hsa-mir-6797","0","1","0","2","2","0"
"2463","hsa-miR-6798-5p","hsa-mir-6798","0","0","0","0","0","0"
"2464","hsa-miR-6798-3p","hsa-mir-6798","1","1","0","3","0","0"
"2465","hsa-miR-6799-5p","hsa-mir-6799","0","0","0","0","0","0"
"2466","hsa-miR-6799-3p","hsa-mir-6799","0","0","0","0","0","0"
"2467","hsa-miR-6800-5p","hsa-mir-6800","0","0","6","0","0","0"
"2468","hsa-miR-6800-3p","hsa-mir-6800","0","0","0","1","0","0"
"2469","hsa-miR-6801-5p","hsa-mir-6801","0","0","0","0","0","0"
"2470","hsa-miR-6801-3p","hsa-mir-6801","0","0","0","0","0","0"
"2471","hsa-miR-6802-5p","hsa-mir-6802","0","0","0","0","0","0"
"2472","hsa-miR-6802-3p","hsa-mir-6802","0","0","4","1","0","0"
"2473","hsa-miR-6803-5p","hsa-mir-6803","0","0","0","0","0","0"
"2474","hsa-miR-6803-3p","hsa-mir-6803","1","0","6","2","0","1"
"2475","hsa-miR-6804-5p","hsa-mir-6804","2","2","0","0","0","0"
"2476","hsa-miR-6804-3p","hsa-mir-6804","0","0","0","0","0","0"
"2477","hsa-miR-6805-5p","hsa-mir-6805","0","0","0","0","1","2"
"2478","hsa-miR-6805-3p","hsa-mir-6805","0","0","0","0","0","0"
"2479","hsa-miR-6806-5p","hsa-mir-6806","0","0","0","1","0","0"
"2480","hsa-miR-6806-3p","hsa-mir-6806","2","0","0","1","2","0"
"2481","hsa-miR-6807-5p","hsa-mir-6807","0","1","0","0","1","0"
