"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-8S68L5D",27.37,82,7.02,32.14,70.66,35.65,27.4,27.25
"tRF-16-8SPOF5D",0,0,0,0,0,4.46,0,0
"tRF-16-8SPOL5D",9.12,15.37,17.55,19.28,22.08,17.82,9.13,23.36
"tRF-16-8WQ0D5D",0,5.12,0,12.85,17.67,0,18.27,7.79
"tRF-16-8Y19O1E",0,0,3.51,0,0,0,0,0
"tRF-16-8Y3DUVD",9.12,25.62,21.06,32.14,35.33,22.28,13.7,23.36
"tRF-16-8Z1MQ8E",0,10.25,0,0,0,4.46,0,0
"tRF-16-945NB2D",9.12,20.5,0,6.43,26.5,17.82,22.84,23.36
"tRF-16-94V4SMB",0,0,0,0,0,0,0,3.89
"tRF-16-96L85DE",45.62,76.87,63.18,44.99,163.4,115.86,41.1,62.28
"tRF-16-98YKIS0",0,0,3.51,0,0,0,0,0
"tRF-16-99DMEM0",3.04,0,0,0,0,0,0,0
"tRF-16-9EDJSYB",18.25,10.25,24.57,12.85,0,8.91,4.57,7.79
"tRF-16-9H93WBE",0,0,0,6.43,0,4.46,0,0
"tRF-16-9KR959D",3.04,0,0,6.43,0,0,13.7,0
"tRF-16-9L5HJVE",0,0,0,0,0,0,0,3.89
"tRF-16-9L5HMVE",9.12,5.12,3.51,6.43,4.42,8.91,0,0
"tRF-16-9LQHWUD",0,0,0,6.43,0,0,0,0
"tRF-16-9MH57SD",0,0,0,6.43,0,4.46,0,0
"tRF-16-9N1EWJ0",97.32,230.62,80.72,134.98,158.99,191.62,95.91,132.35
"tRF-16-9N1QKSD",15.21,10.25,17.55,12.85,30.91,22.28,4.57,3.89
"tRF-16-9NF5W80",6.08,5.12,0,0,4.42,0,0,0
"tRF-16-9NH5SYD",3.04,0,10.53,0,13.25,17.82,9.13,11.68
"tRF-16-9NLM3KE",3.04,0,3.51,0,0,0,0,0
"tRF-16-9NS334D",6.08,61.5,3.51,38.56,44.16,44.56,50.24,50.6
"tRF-16-9Q53K80",0,0,3.51,0,0,4.46,4.57,3.89
"tRF-16-9Q5JK80",6.08,15.37,7.02,0,8.83,8.91,0,3.89
"tRF-16-9RQ4R90",0,0,0,0,4.42,0,0,0
"tRF-16-B4ZPEKD",0,5.12,0,0,0,8.91,0,0
"tRF-16-B6R3LU0",0,0,0,0,0,0,4.57,0
"tRF-16-BE7XO80",0,5.12,0,0,4.42,0,4.57,3.89
"tRF-16-BK87R90",0,0,0,6.43,0,0,4.57,0
"tRF-16-BKZ4R90",0,0,0,0,0,0,0,3.89
"tRF-16-BM32LJD",0,5.12,0,0,4.42,4.46,0,0
"tRF-16-BMW36DD",0,0,0,6.43,0,0,0,0
"tRF-16-BMW3RDD",0,5.12,0,0,0,4.46,0,0
"tRF-16-BP1IUUD",0,0,0,0,4.42,0,0,0
"tRF-16-BS5EOBD",3.04,5.12,0,12.85,4.42,26.74,9.13,11.68
"tRF-16-BS68BFD",36.5,51.25,31.59,70.7,105.99,80.21,45.67,38.93
"tRF-16-BS6PBFD",3.04,0,0,0,0,0,0,0
"tRF-16-BY68BFD",0,0,0,0,0,0,4.57,0
"tRF-16-D3KS7SB",0,0,0,0,4.42,0,0,0
"tRF-16-D6MSRMB",3.04,0,0,0,0,0,0,0
"tRF-16-D7M461D",0,0,3.51,0,0,0,4.57,0
"tRF-16-D7M461E",0,0,0,6.43,0,0,4.57,3.89
"tRF-16-D7M4O1E",12.17,0,7.02,0,13.25,17.82,4.57,0
"tRF-16-D81H93E",0,10.25,10.53,6.43,4.42,8.91,9.13,3.89
"tRF-16-DF7UK80",3.04,0,10.53,0,4.42,0,0,3.89
"tRF-16-DJQV760",0,0,0,0,4.42,0,0,0
"tRF-16-DJXW7SB",0,0,0,0,0,0,4.57,0
"tRF-16-DNN34SE",0,0,0,6.43,0,0,0,0
"tRF-16-DPUSYDE",0,0,0,0,4.42,0,0,3.89
"tRF-16-DR2SN1B",3.04,0,0,0,0,0,0,0
"tRF-16-DR3J09D",0,10.25,0,0,0,0,0,3.89
"tRF-16-DRJRWM0",3.04,0,0,0,0,0,0,0
"tRF-16-DRXSE50",0,5.12,0,0,0,0,0,0
"tRF-16-DWY2MJE",3.04,46.12,3.51,32.14,22.08,53.47,18.27,50.6
"tRF-16-E0PRRND",0,0,0,0,0,4.46,0,3.89
"tRF-16-E8Q2B5D",0,5.12,7.02,0,0,13.37,0,3.89
"tRF-16-EH623K0",3.04,5.12,0,6.43,0,4.46,9.13,3.89
"tRF-16-EHBK8R0",0,0,0,0,0,0,0,3.89
"tRF-16-EO7N980",0,5.12,3.51,0,30.91,0,4.57,7.79
"tRF-16-EY0VWUD",21.29,35.87,7.02,12.85,48.58,17.82,41.1,42.82
"tRF-16-F0QV7ND",0,0,0,0,4.42,0,0,0
"tRF-16-F1R3WEE",9.12,0,10.53,12.85,4.42,13.37,0,7.79
"tRF-16-F900BYD",0,5.12,0,12.85,4.42,13.37,0,7.79
"tRF-16-F9LKXNE",0,0,0,0,8.83,0,0,0
"tRF-16-FH14PU0",0,0,0,0,0,0,0,3.89
"tRF-16-FJ33DSD",0,0,0,0,4.42,0,4.57,0
"tRF-16-FKWE6ME",0,5.12,0,6.43,0,0,0,0
"tRF-16-FKYSR90",0,0,0,6.43,0,0,0,0
"tRF-16-FPZD3KD",9.12,10.25,7.02,0,0,0,0,0
"tRF-16-FPZD3KE",15.21,0,56.16,12.85,4.42,13.37,4.57,0
"tRF-16-FR83DN0",0,0,0,0,0,4.46,0,0
"tRF-16-FSXMSL0",0,5.12,0,0,0,0,0,0
"tRF-16-FW6SF8E",0,5.12,0,0,4.42,0,0,0
"tRF-16-H48V7KE",9.12,10.25,10.53,6.43,4.42,8.91,4.57,0
"tRF-16-H5KQBFD",0,5.12,0,0,0,0,0,0
"tRF-16-H5SYNXD",0,5.12,0,6.43,0,0,0,0
"tRF-16-H6QE30E",12.17,10.25,24.57,0,8.83,4.46,4.57,0
"tRF-16-H7PU4HD",6.08,0,0,0,22.08,13.37,0,3.89
"tRF-16-H7S84HD",0,0,0,0,0,0,4.57,0
"tRF-16-H9R8B7D",21.29,25.62,14.04,12.85,4.42,0,13.7,19.46
"tRF-16-H9R8ORD",0,0,0,0,4.42,0,0,0
"tRF-16-HFO6FJD",0,0,0,6.43,22.08,13.37,4.57,11.68
"tRF-16-HK9NJ40",0,0,0,0,0,0,4.57,0
"tRF-16-HKFZB1D",0,5.12,0,0,0,13.37,0,7.79
"tRF-16-HPDJXW0",0,0,0,6.43,0,0,0,0
"tRF-16-HR0P1SD",0,0,0,6.43,0,0,0,0
"tRF-16-HR0VX6D",12.17,25.62,7.02,19.28,48.58,31.19,9.13,3.89
"tRF-16-HR1PF7D",0,0,0,0,4.42,0,0,0
"tRF-16-HRH7MSD",0,0,0,6.43,4.42,0,0,0
"tRF-16-HRL7S50",0,5.12,0,0,4.42,0,9.13,0
"tRF-16-HRMFWRB",6.08,0,0,0,0,0,0,3.89
"tRF-16-HSQSD2D",0,5.12,3.51,0,4.42,17.82,4.57,3.89
"tRF-16-HSRVK7D",15.21,5.12,3.51,6.43,26.5,13.37,22.84,3.89
"tRF-16-I0PRRND",0,0,0,0,8.83,0,0,7.79
"tRF-16-I26WRND",0,0,3.51,6.43,0,4.46,0,0
"tRF-16-I2LJQI0",0,0,0,0,0,0,4.57,0
"tRF-16-I2UKM70",0,0,0,0,0,0,0,3.89
"tRF-16-I34JRX0",0,0,3.51,0,0,0,0,0
"tRF-16-I3FJQSD",3.04,0,0,0,0,0,0,3.89
"tRF-16-I7L7P50",12.17,20.5,21.06,6.43,8.83,4.46,9.13,7.79
"tRF-16-I7XUK80",3.04,0,7.02,0,0,0,4.57,0
"tRF-16-I8WX6RD",0,5.12,0,0,0,4.46,4.57,0
"tRF-16-ILQ673B",0,10.25,0,0,0,0,4.57,0
"tRF-16-IMLWRND",3.04,0,0,6.43,0,4.46,0,0
"tRF-16-INVDRID",39.54,1219.74,14.04,809.86,596.2,619.41,306,354.22
"tRF-16-IPRVYJE",3.04,5.12,14.04,0,22.08,8.91,13.7,15.57
"tRF-16-IRJ9ZHB",0,5.12,0,0,0,0,0,0
"tRF-16-IRM1BVB",0,0,7.02,0,0,0,0,0
"tRF-16-IRMJ6VB",3.04,0,0,0,4.42,0,0,0
"tRF-16-ISQI45D",0,0,3.51,6.43,8.83,8.91,0,3.89
"tRF-16-J07RRND",0,0,0,0,0,0,4.57,0
"tRF-16-J36RRND",0,0,0,0,0,0,4.57,0
"tRF-16-J81H93E",0,5.12,0,0,0,0,0,0
"tRF-16-J9ZH0S0",9.12,0,7.02,6.43,0,4.46,0,3.89
"tRF-16-JBRYMWE",0,5.12,3.51,6.43,0,4.46,0,0
"tRF-16-JHHS19B",0,10.25,0,0,0,0,0,0
"tRF-16-JHOJ7I0",0,0,3.51,0,0,0,0,0
"tRF-16-JIH6Z3D",0,0,0,0,0,0,4.57,0
"tRF-16-JKIKYUE",0,10.25,3.51,0,17.67,4.46,9.13,7.79
"tRF-16-JKIWRND",3.04,0,3.51,0,0,4.46,4.57,3.89
"tRF-16-JKSV5ND",6.08,0,0,0,4.42,13.37,4.57,0
"tRF-16-JMRPFQB",0,10.25,3.51,6.43,0,8.91,4.57,7.79
"tRF-16-JMRPFQD",109.49,71.75,101.78,44.99,79.49,93.58,45.67,46.71
"tRF-16-JMZLBS0",0,0,0,0,4.42,0,0,0
"tRF-16-JNORRND",3.04,10.25,0,0,0,0,0,11.68
"tRF-16-JQSSM80",6.08,5.12,0,0,4.42,0,4.57,0
"tRF-16-JYSZ11D",3.04,20.5,0,0,13.25,13.37,0,7.79
"tRF-16-K0SVRND",9.12,0,14.04,0,8.83,8.91,0,3.89
"tRF-16-K2821I0",3.04,0,0,0,0,0,0,0
"tRF-16-K53SW1B",0,5.12,0,0,13.25,0,0,3.89
"tRF-16-K5J0W1B",0,5.12,0,0,4.42,0,0,0
"tRF-16-K5NSW1B",0,0,0,0,0,0,0,7.79
